Date,Price,Open,High,Low,Vol.,Change %
"Feb 05, 2014",5070.31,5097.10,5111.30,5052.20,671.93M,-0.0052
"Feb 04, 2014",5097.06,5187.90,5187.90,5092.00,795.70M,-0.0175
"Feb 03, 2014",5187.91,5190.00,5198.30,5163.40,438.43M,-0.0004
"Jan 31, 2014",5190.00,5188.10,5196.70,5169.90,602.91M,0.0004
"Jan 30, 2014",5188.06,5229.10,5229.10,5161.50,654.07M,-0.0078
"Jan 29, 2014",5229.01,5175.10,5229.00,5175.10,606.92M,0.0104
"Jan 28, 2014",5175.11,5240.90,5240.90,5158.90,715.21M,-0.0126
"Jan 24, 2014",5240.93,5263.00,5278.60,5240.90,614.73M,-0.0042
"Jan 23, 2014",5262.99,5319.80,5320.60,5252.80,603.62M,-0.0107
"Jan 22, 2014",5319.77,5331.50,5331.50,5285.40,496.24M,-0.0022
"Jan 21, 2014",5331.46,5295.00,5331.50,5276.10,450.26M,0.0069
"Jan 20, 2014",5295.05,5305.90,5306.40,5259.90,501.96M,-0.0020
"Jan 17, 2014",5305.87,5309.10,5319.30,5283.90,548.87M,-0.0006
"Jan 16, 2014",5309.07,5245.40,5309.10,5245.40,612.86M,0.0121
"Jan 15, 2014",5245.43,5212.00,5256.10,5212.00,536.09M,0.0064
"Jan 14, 2014",5212.05,5292.10,5292.10,5207.50,604.66M,-0.0151
"Jan 13, 2014",5292.07,5312.40,5318.00,5288.10,394.52M,-0.0038
"Jan 10, 2014",5312.38,5324.40,5324.40,5306.30,470.88M,-0.0023
"Jan 09, 2014",5324.41,5316.00,5324.41,5295.40,459.12M,0.0016
"Jan 08, 2014",5316.05,5317.00,5353.00,5303.70,501.84M,-0.0002
"Jan 07, 2014",5316.99,5324.90,5346.30,5314.30,499.19M,-0.0015
"Jan 06, 2014",5324.88,5350.10,5362.00,5317.40,345.32M,-0.0047
"Jan 03, 2014",5350.10,5367.90,5367.90,5325.80,314.72M,-0.0033
"Jan 02, 2014",5367.91,5352.20,5383.40,5352.20,279.30M,0.0029
"Dec 31, 2013",5352.21,5356.80,5367.40,5338.90,265.90M,-0.0009
"Dec 30, 2013",5356.80,5324.10,5356.80,5324.10,311.51M,0.0061
"Dec 27, 2013",5324.06,5327.20,5365.30,5319.70,228.75M,-0.0006
"Dec 24, 2013",5327.25,5291.90,5329.70,5291.90,246.76M,0.0067
"Dec 23, 2013",5291.95,5265.20,5293.50,5257.40,479.64M,0.0051
"Dec 20, 2013",5265.22,5202.20,5265.22,5202.20,1.35B,0.0121
"Dec 19, 2013",5202.23,5096.10,5202.20,5096.10,824.14M,0.0208
"Dec 18, 2013",5096.10,5103.20,5115.60,5093.30,657.35M,-0.0014
"Dec 17, 2013",5103.19,5089.60,5134.70,5084.30,626.69M,0.0027
"Dec 16, 2013",5089.63,5098.40,5101.20,5059.70,498.76M,-0.0017
"Dec 13, 2013",5098.43,5062.50,5098.43,5047.50,654.10M,0.0071
"Dec 12, 2013",5062.52,5104.30,5115.70,5028.20,919.77M,-0.0082
"Dec 11, 2013",5104.25,5137.90,5142.00,5104.20,612.01M,-0.0076
"Dec 10, 2013",5143.55,5144.40,5185.40,5140.70,751.94M,-0.0002
"Dec 09, 2013",5144.42,5186.00,5207.60,5133.50,603.80M,-0.0080
"Dec 06, 2013",5186.02,5198.00,5198.60,5154.60,533.06M,-0.0023
"Dec 05, 2013",5197.96,5273.80,5276.70,5197.96,895.80M,-0.0144
"Dec 04, 2013",5273.75,5256.10,5278.30,5227.60,693.04M,0.0034
"Dec 03, 2013",5256.07,5279.50,5283.80,5253.20,692.55M,-0.0044
"Dec 02, 2013",5279.52,5320.00,5332.70,5269.50,579.71M,-0.0076
"Nov 29, 2013",5320.05,5334.30,5339.20,5308.10,626.81M,-0.0027
"Nov 28, 2013",5334.34,5332.90,5367.10,5332.90,628.91M,0.0003
"Nov 27, 2013",5332.87,5357.00,5362.40,5332.90,500.31M,-0.0045
"Nov 26, 2013",5357.01,5352.80,5375.10,5345.00,950.86M,0.0008
"Nov 25, 2013",5352.83,5335.90,5374.10,5335.90,581.38M,0.0032
"Nov 22, 2013",5335.91,5288.30,5352.60,5288.30,549.51M,0.0090
"Nov 21, 2013",5288.32,5307.70,5307.70,5284.90,725.62M,-0.0036
"Nov 20, 2013",5307.66,5352.90,5352.90,5296.20,569.29M,-0.0085
"Nov 19, 2013",5352.90,5384.70,5384.70,5345.00,578.27M,-0.0059
"Nov 18, 2013",5384.66,5401.70,5404.00,5357.40,452.29M,-0.0031
"Nov 15, 2013",5401.67,5355.40,5406.10,5340.60,567.47M,0.0086
"Nov 14, 2013",5355.43,5319.20,5377.80,5319.20,604.71M,0.0068
"Nov 13, 2013",5319.18,5393.10,5393.10,5308.50,712.53M,-0.0137
